"provincias_vec","wave_vec","correlation_vec_temp","p_value_vec_temp","correlation_vec_wind","p_value_vec_wind","correlation_vec_prec","p_value_vec_prec"
"santaCruzDeTenerife","second",-0.499294234885573,2.18820120847012e-10,-0.205326244687811,0.0138911776504888,0.298762423150582,0.000289562010191643
"segovia","second",-0.521904454147748,0.0459851650678609,-0.0512387570140702,0.85609406746021,0.105837377081997,0.707361160052178
"sevilla","second",-0.775717826710626,5.67651677818679e-29,-0.175662790958255,0.0393169872402407,0.358809077140514,1.54965408267375e-05
"soria","second",-0.547093492271303,1.55301691038133e-12,-0.099351584128001,0.237774273516902,0.165404851780755,0.0483573068673847
"tarragona","second",-0.643323110561668,5.96069212854679e-18,0.00609204105056207,0.942638461558447,0.100562267365529,0.233745003731987
"teruel","second",-0.54276431724128,2.51161882693226e-12,-0.177111633528885,0.034334788417362,0.184993874122296,0.0269723705592995
"toledo","second",-0.554429672646877,9.83986068017046e-13,-0.0773141130481973,0.362165269521795,0.272639187141596,0.00107249832182962
"valencia","second",-0.253328184935808,0.0186016251609362,-0.110120161478998,0.312810353715095,0.0212473445107204,0.846036214313747
"valladolid","second",-0.626761944226448,5.60056747105885e-17,-0.049250037309482,0.559132522268713,0.310821280427198,0.000157912737816351
"zamora","second",-0.059311812751661,0.514622176072465,0.126767541635157,0.162350848387365,0.114440886599434,0.2075261681666
"zaragoza","second",-0.692362372159364,9.96670123481538e-22,-0.293586381292249,0.000372663080254159,0.172121530953074,0.0398233370233911
"alava","third",0.00877088413338047,0.934983736118531,-0.0496592579517795,0.643975869744845,0.151232848942349,0.157153509069777
"albacete","third",-0.52845684341828,1.43318795557744e-07,-0.154409379955178,0.15329664623624,0.253153621022493,0.0179920141243515
"alicante","third",-0.347279704815442,0.000855044433417731,-0.284236577454501,0.00694446827211587,0.170937674274005,0.10923567244082
"almeria","third",0.103551376690255,0.339849832803594,-0.051275528319701,0.63717002952034,-0.0366997476679297,0.735758802919573
"asturias","third",-0.0211335213440335,0.845050713210518,-0.00108098789924399,0.992024818800094,-0.131647330198718,0.22146835893561
"avila","third",-0.362591429744704,0.000479503489701818,-0.319860706292537,0.00224608172420419,0.0463414952431813,0.66629655363099
"badajoz","third",-0.536078578544769,6.16098416125037e-08,-0.140931257940734,0.187726981453203,-0.0941639938760515,0.380087162697233
"baleares","third",-0.297730385775907,0.00484423572995436,-0.0663220822898384,0.539256927677029,0.338831167222612,0.00124156434698054
"barcelona","third",-0.252092701976465,0.0171607534310615,0.0136883064373584,0.898690580413304,-0.0684725946668466,0.523742991842023
"bizkaia","third",0.0200372906186917,0.852148453951947,-0.232703440588376,0.0281990426736321,-0.128870659176557,0.228743084298735
"burgos","third",-0.190600448324842,0.0787739966677122,-0.00543176803893415,0.960412933873614,0.103974012262788,0.34074652572352
"caceres","third",-0.514976455894612,2.42584418651681e-07,-0.182273879900797,0.0873374448545467,-0.0235359163262683,0.826705467885732
"cadiz","third",-0.245167991586928,0.0205760217467024,-0.270796818923967,0.0102663613028127,0.0222508149618646,0.836031791100447
"cantabria","third",-0.428158861139961,3.91651468927675e-05,0.0060169578673615,0.956152047341977,0.0797433046544159,0.465481164817993
"castellon","third",-0.226762260247009,0.0326020417336489,0.074267443813543,0.489132554214947,-0.0419883670122579,0.696026315862823
"ceuta","third",-0.112394497555102,0.294332193874631,0.0716479623979012,0.504626163855784,0.0797359244229665,0.45761663901601
"ciudadReal","third",-0.546206481409878,5.33655008430119e-08,-0.191572350054401,0.0772320333939395,0.0463367419026846,0.671821815655115
"cordoba","third",-0.132123596001015,0.217109723365696,0.0377055091519918,0.725731424112501,0.0690327645330578,0.520344259752811
"coruña","third",-0.221460120755889,0.0370068022690976,-0.170288064331566,0.110609256779063,-0.0153861364435067,0.886204085732524
"cuenca","third",-0.413267376026024,5.69459241016746e-05,-0.130068450856904,0.224409772613667,0.119903491380021,0.263046359856211
"gipuzkoa","third",-0.136955274691471,0.200612473193138,-0.132435671863619,0.216016056192989,0.135460144822697,0.205618377047567
"girona","third",-0.346163316341789,0.00102250032254322,-0.0895880339353019,0.409260052261513,-0.0704055321564778,0.516981307296479
"granada","third",-0.0912570757685312,0.459227310939758,-0.222719326837811,0.0679189637489277,-0.119819103434086,0.330430422685971
"guadalajara","third",-0.304299144741737,0.00374044169470073,-0.0767676113871031,0.474582882581789,0.114831070895466,0.283922596905588
"huelva","third",-0.165512845553596,0.121121443844753,0.0625920424301734,0.560084198958299,0.220736215597011,0.0376451416565713
"huesca","third",-0.430371874370817,4.38668531940311e-05,-0.221299513520575,0.0430721531328222,0.0210612762075624,0.849184912692368
"jaen","third",-0.257984818322235,0.0152351716269545,0.037632777157822,0.727763265779733,0.163600610012481,0.127746786989046
"laRioja","third",-0.415664064347849,6.23539047213583e-05,-0.195114401137157,0.0701359158387305,-0.0514919790854087,0.635747432733431
"lasPalmas","third",-0.457317300259864,6.62558676001622e-06,-0.0531015669598584,0.621146388325589,0.0839372689983403,0.434185251112509
"leon","third",0.0186813235021254,0.862051739550912,-0.198703937397408,0.0619393366307809,-0.0112283946684426,0.916824724473215
"lleida","third",-0.322706994561491,0.00204005069250451,-0.276941438750621,0.00860584085962821,0.0231511075915684,0.829495671160479
"lugo","third",-0.167285407271408,0.117133150221573,-0.0909795138035467,0.396479163968477,-0.0829834655341265,0.43944411465904
"madrid","third",-0.0966925876115207,0.390493921181825,-0.101615476791738,0.36670411752523,0.0442683209480528,0.69475170289861
"malaga","third",-0.11285506903524,0.295152134396444,-0.0921039611681855,0.393396497698816,0.0239087005565582,0.82500817268243
"melilla","third",-0.0734551836866427,0.493909780238756,-0.0210910185779967,0.84446827126773,-0.127365902071331,0.234269434244066
"murcia","third",-0.357780334301697,0.000576862083497178,-0.150606370853206,0.158899712077279,0.250600148395032,0.0178523981024728
"navarra","third",-0.419413357836539,4.29305445044863e-05,-0.20303454258929,0.0563558970626218,-0.00530949630454499,0.960614927615352
"ourense","third",-0.279231963833565,0.00922487917590976,-0.00109866886957192,0.991989735686536,-0.0586226011833619,0.591854938797011
"palencia","third",-0.069983993933649,0.601655954078117,0.503851517478887,5.5292228176085e-05,0.311122293987763,0.0174453519561514
"pontevedra","third",-0.152202051891187,0.154480236203589,-0.0186173212695718,0.862519718449258,0.0590691495162724,0.582415384201181
"salamanca","third",-0.180941514792278,0.0897146199882971,0.0616382382689414,0.566089818351555,0.033666615837656,0.754121798920284
"santaCruzDeTenerife","third",0.293296695120518,0.00527948702103972,0.125580100637355,0.240947708380656,0.104318735366456,0.330609830799765
"segovia","third",-0.197040292408665,0.314896857354577,-0.0142563400928212,0.942600656461436,0.47750370280486,0.0101805398327922
"sevilla","third",-0.063861400542771,0.561477298224323,0.0497069721127286,0.651434914282203,0.130245955797482,0.234794999222891
"soria","third",0.0830640046319936,0.438998672382186,0.0297673164323615,0.78184477790025,0.0381725899787694,0.722471127391234
"tarragona","third",-0.432790399379591,2.27690822575153e-05,0.0873042646932761,0.415909358299137,-0.0197971712437005,0.853900539809878
"teruel","third",-0.0423371215650061,0.693626762573255,0.158614682686154,0.137641739657304,0.0531892145243771,0.620569640696239
"toledo","third",-0.351615121178088,0.00228543909309032,-0.0238871731946964,0.841012843143132,0.107195332509561,0.366698871949624
"valencia","third",0.200881756794747,0.191038452748926,0.232395238259873,0.129007747601642,-0.27655506220588,0.069175293555513
"valladolid","third",-0.313865568412668,0.00274246126746855,-0.00204769142662531,0.984805358513795,0.00391523356218721,0.970952075093807
"zamora","third",-0.249400840006307,0.0184254153496927,0.00292452725493037,0.978300246692712,0.00577077569338143,0.957196322496301
"zaragoza","third",-0.319196337788596,0.00229679098371769,-0.0615478896314666,0.566660268639841,0.0568855801277053,0.596458591438954
"alava","fourth",-0.516585781234655,1.43983290403076e-08,-0.00657687180978135,0.94665264603539,-0.098659011668533,0.314333707628856
"albacete","fourth",0.326088931934659,0.000729863060243851,0.179363650531682,0.0684770540475417,0.127732143834363,0.1962969763509
"alicante","fourth",0.129919017184874,0.18438575789568,-0.0770170274041056,0.43262742343536,0.0995492683513965,0.309965400356078
"almeria","fourth",-0.695427368677132,2.57896261654141e-16,-0.171710934622166,0.0813475091922449,0.0458242361829921,0.644144411416009
"asturias","fourth",-0.528969677498159,1.53524797398123e-08,0.13758986607591,0.172220909602702,-0.178513654822744,0.0755689465205568
"avila","fourth",0.287616984645888,0.0027941108992382,-0.00109547675828942,0.991107843900482,0.132422003338504,0.176001317802853
"badajoz","fourth",-0.0478152724508968,0.626449764258788,0.0349502799044321,0.722082235916987,0.0164506059054758,0.867076988032768
"baleares","fourth",-0.311798633606087,0.00120431860745427,0.0651205596230007,0.509253515194696,0.0113592191724591,0.908438998118905
"barcelona","fourth",-0.594547360868598,1.82400156751518e-11,-0.0459214839402369,0.640191197428097,0.0622709227500792,0.525994323960086
"bizkaia","fourth",-0.305466255137318,0.00145181839066417,0.0371841249012767,0.705114393211254,-0.0319212436464842,0.745305691153357
"burgos","fourth",-0.347174730520631,0.00026625898391758,-0.0951530759308109,0.331922505444145,0.104359999398729,0.287046825900777
"caceres","fourth",-0.32196545806356,0.000763715348526806,-0.141335401850425,0.148416123592037,0.195847570801239,0.0442204502727611
"cadiz","fourth",0.199921879104432,0.039907174557111,0.0706163818464274,0.471944774122174,-0.0593275592502075,0.545774036250517
"cantabria","fourth",-0.335190766334946,0.000473614423860099,0.108684887162661,0.269753562490243,-0.108123932433654,0.27224800449477
"castellon","fourth",-0.0872784448566745,0.373663870004178,-0.190249879220265,0.0507724566193713,0.236864108624901,0.0144994598566399
"ceuta","fourth",-0.507169270637983,2.88939442090103e-08,0.199308893688633,0.0405326984188033,-0.124308648935022,0.204230113329599
"ciudadReal","fourth",0.12544578923557,0.200089087900536,0.109493388489587,0.263865990476017,0.0884382468984673,0.367322799875184
"cordoba","fourth",0.301504233017537,0.00168488491957536,0.0150126223045001,0.87860304551778,-0.0706330810300244,0.471839733924894
