,season,division,matchday,team,Away_team,index_match,W,L,T,result,rank,GD_home,GD_away
27729,1996-1997,2,38,UE Lleida,Écija Balompié,37082,11.0,14.0,12.0,W,14.0,3.0,-3.0
27720,1996-1997,2,38,Atl. Madrid B,Badajoz 1905,37083,12.0,15.0,10.0,T,12.0,-4.0,4.0
27727,1996-1997,2,38,Villarreal,RCD Mallorca,37084,13.0,15.0,9.0,L,9.0,-12.0,12.0
27719,1996-1997,2,38,Albacete,CD Leganés,37085,19.0,9.0,9.0,L,4.0,20.0,-20.0
27725,1996-1997,2,38,UD Las Palmas,CD Toledo,37086,12.0,12.0,13.0,W,7.0,5.0,-5.0
27720,1996-1997,2,38,Alavés,UD Salamanca,37087,12.0,14.0,11.0,L,10.0,0.0,0.0
27724,1996-1997,2,38,Orense,UD Almería,37088,10.0,16.0,11.0,W,17.0,-12.0,12.0
27721,1996-1997,2,38,Barcelona B,Levante,37089,7.0,17.0,13.0,L,19.0,-19.0,19.0
28115,1997-1998,2,1,SD Eibar,CD Leganés,37090,,,,L,,,
28111,1997-1998,2,1,CD Toledo,Levante,37091,,,,W,,,
28117,1997-1998,2,1,UE Lleida,Sevilla FC,37092,,,,L,,,
28112,1997-1998,2,1,Badajoz 1905,Real Jaén CF,37093,,,,T,,,
28113,1997-1998,2,1,Rayo Vallecano,Hércules CF,37094,,,,T,,,
28118,1997-1998,2,1,Villarreal,CA Osasuna,37095,,,,W,,,
28119,1997-1998,2,1,Xerez CD,CF Extremadura,37096,,,,L,,,
28110,1997-1998,2,1,Alavés,Albacete,37097,,,,W,,,
28115,1997-1998,2,1,CD Logroñés,CD Ourense,37098,,,,L,,,
28116,1997-1998,2,1,UD Las Palmas,Atl. Madrid B,37099,,,,T,,,
28112,1997-1998,2,1,Elche CF,CD Numancia,37100,,,,L,,,
28127,1997-1998,2,2,SD Eibar,Alavés,37101,0.0,1.0,0.0,W,19.0,-1.0,1.0
28121,1997-1998,2,2,Atl. Madrid B,UE Lleida,37102,0.0,0.0,1.0,W,9.0,0.0,0.0
28130,1997-1998,2,2,Villarreal,Hércules CF,37103,1.0,0.0,0.0,W,8.0,1.0,-1.0
28124,1997-1998,2,2,CD Leganés,UD Las Palmas,37104,1.0,0.0,0.0,T,4.0,1.0,-1.0
28129,1997-1998,2,2,Levante,Albacete,37105,0.0,1.0,0.0,L,18.0,-1.0,1.0
28123,1997-1998,2,2,CA Osasuna,CD Toledo,37106,0.0,1.0,0.0,L,16.0,-1.0,1.0
28125,1997-1998,2,2,Rayo Vallecano,CD Numancia,37107,0.0,0.0,1.0,W,14.0,0.0,0.0
28122,1997-1998,2,2,CD Ourense,Sevilla FC,37108,1.0,0.0,0.0,L,6.0,1.0,-1.0
28125,1997-1998,2,2,CD Logroñés,Real Jaén CF,37109,0.0,1.0,0.0,T,17.0,-1.0,1.0
28127,1997-1998,2,2,CF Extremadura,Elche CF,37110,1.0,0.0,0.0,W,5.0,1.0,-1.0
28122,1997-1998,2,2,Badajoz 1905,Xerez CD,37111,0.0,0.0,1.0,T,10.0,0.0,0.0
28137,1997-1998,2,3,SD Eibar,Levante,37112,1.0,1.0,0.0,W,9.0,0.0,0.0
28132,1997-1998,2,3,CD Ourense,Atl. Madrid B,37113,1.0,1.0,0.0,L,11.0,0.0,0.0
28142,1997-1998,2,3,Sevilla FC,Real Jaén CF,37114,2.0,0.0,0.0,W,1.0,5.0,-5.0
28134,1997-1998,2,3,Badajoz 1905,Elche CF,37115,0.0,0.0,2.0,W,15.0,0.0,0.0
28136,1997-1998,2,3,CD Leganés,UE Lleida,37116,1.0,0.0,1.0,T,7.0,1.0,-1.0
28139,1997-1998,2,3,Hércules CF,CD Toledo,37117,0.0,1.0,1.0,W,18.0,-1.0,1.0
28140,1997-1998,2,3,Villarreal,Rayo Vallecano,37118,2.0,0.0,0.0,L,2.0,2.0,-2.0
28131,1997-1998,2,3,Albacete,CA Osasuna,37119,1.0,1.0,0.0,T,8.0,-1.0,1.0
28132,1997-1998,2,3,Alavés,UD Las Palmas,37120,1.0,1.0,0.0,T,10.0,3.0,-3.0
28141,1997-1998,2,3,Xerez CD,CD Logroñés,37121,0.0,1.0,1.0,T,17.0,-1.0,1.0
28138,1997-1998,2,3,CD Numancia,CF Extremadura,37122,1.0,1.0,0.0,L,12.0,-1.0,1.0
28149,1997-1998,2,4,SD Eibar,CA Osasuna,37123,2.0,1.0,0.0,L,5.0,1.0,-1.0
28144,1997-1998,2,4,CD Ourense,CD Leganés,37124,1.0,2.0,0.0,W,14.0,-1.0,1.0
28150,1997-1998,2,4,Levante,UD Las Palmas,37125,0.0,3.0,0.0,W,21.0,-5.0,5.0
28147,1997-1998,2,4,Elche CF,CD Logroñés,37126,0.0,3.0,0.0,W,22.0,-7.0,7.0
28151,1997-1998,2,4,UE Lleida,Alavés,37127,0.0,2.0,1.0,L,19.0,-6.0,6.0
28152,1997-1998,2,4,Villarreal,CD Numancia,37128,2.0,1.0,0.0,L,7.0,-3.0,3.0
28145,1997-1998,2,4,CD Toledo,Rayo Vallecano,37129,2.0,1.0,0.0,T,6.0,-1.0,1.0
28144,1997-1998,2,4,Badajoz 1905,CF Extremadura,37130,1.0,0.0,2.0,T,8.0,5.0,-5.0
28149,1997-1998,2,4,Hércules CF,Albacete,37131,1.0,1.0,1.0,L,10.0,2.0,-2.0
28143,1997-1998,2,4,Atl. Madrid B,Real Jaén CF,37132,2.0,0.0,1.0,T,4.0,3.0,-3.0
28152,1997-1998,2,4,Sevilla FC,Xerez CD,37133,3.0,0.0,0.0,L,1.0,9.0,-9.0
28153,1997-1998,2,5,Albacete,Rayo Vallecano,37134,2.0,1.0,1.0,T,6.0,0.0,0.0
28154,1997-1998,2,5,Alavés,CD Ourense,37135,2.0,1.0,1.0,L,5.0,4.0,-4.0
28161,1997-1998,2,5,Levante,UE Lleida,37136,1.0,3.0,0.0,T,18.0,-4.0,4.0
28164,1997-1998,2,5,Villarreal,CD Toledo,37137,2.0,2.0,0.0,T,12.0,-4.0,4.0
28157,1997-1998,2,5,CD Leganés,Real Jaén CF,37138,1.0,1.0,2.0,W,14.0,-3.0,3.0
28160,1997-1998,2,5,SD Eibar,Hércules CF,37139,2.0,2.0,0.0,T,11.0,0.0,0.0
28161,1997-1998,2,5,UD Las Palmas,CA Osasuna,37140,0.0,1.0,3.0,L,20.0,-1.0,1.0
28158,1997-1998,2,5,CD Logroñés,CF Extremadura,37141,0.0,2.0,2.0,T,21.0,-6.0,6.0
28163,1997-1998,2,5,Xerez CD,Atl. Madrid B,37142,1.0,1.0,2.0,L,13.0,0.0,0.0
28154,1997-1998,2,5,Badajoz 1905,CD Numancia,37143,1.0,0.0,3.0,T,10.0,5.0,-5.0
28163,1997-1998,2,5,Sevilla FC,Elche CF,37144,3.0,1.0,0.0,T,2.0,8.0,-8.0
28172,1997-1998,2,6,Rayo Vallecano,SD Eibar,37145,2.0,0.0,3.0,W,5.0,7.0,-7.0
28170,1997-1998,2,6,Hércules CF,UD Las Palmas,37146,1.0,2.0,2.0,L,15.0,1.0,-1.0
28170,1997-1998,2,6,Elche CF,Atl. Madrid B,37147,1.0,3.0,1.0,W,17.0,-2.0,2.0
28166,1997-1998,2,6,CA Osasuna,UE Lleida,37148,2.0,2.0,1.0,L,9.0,1.0,-1.0
28168,1997-1998,2,6,CD Logroñés,Badajoz 1905,37149,0.0,2.0,3.0,T,19.0,-6.0,6.0
28169,1997-1998,2,6,CD Numancia,CD Toledo,37150,2.0,2.0,1.0,T,13.0,-3.0,3.0
28173,1997-1998,2,6,Sevilla FC,CF Extremadura,37151,3.0,1.0,1.0,L,3.0,8.0,-8.0
28171,1997-1998,2,6,Levante,CD Ourense,37152,1.0,3.0,1.0,L,18.0,-4.0,4.0
28174,1997-1998,2,6,Villarreal,Albacete,37153,2.0,2.0,1.0,T,11.0,-4.0,4.0
28171,1997-1998,2,6,Real Jaén CF,Alavés,37154,0.0,2.0,3.0,T,20.0,-5.0,5.0
28175,1997-1998,2,6,Xerez CD,CD Leganés,37155,1.0,2.0,2.0,W,16.0,-2.0,2.0
28184,1997-1998,2,7,UE Lleida,Hércules CF,37156,1.0,3.0,2.0,L,18.0,-6.0,6.0
28185,1997-1998,2,7,Xerez CD,Alavés,37157,2.0,2.0,2.0,L,8.0,1.0,-1.0
28177,1997-1998,2,7,Atl. Madrid B,CF Extremadura,37158,3.0,1.0,2.0,W,4.0,3.0,-3.0
28186,1997-1998,2,7,Villarreal,SD Eibar,37159,2.0,2.0,2.0,W,11.0,-4.0,4.0
28179,1997-1998,2,7,CD Leganés,Elche CF,37160,2.0,2.0,2.0,W,13.0,-5.0,5.0
28181,1997-1998,2,7,CD Toledo,Albacete,37161,2.0,1.0,3.0,T,7.0,-1.0,1.0
28184,1997-1998,2,7,Rayo Vallecano,UD Las Palmas,37162,3.0,0.0,3.0,T,3.0,8.0,-8.0
28178,1997-1998,2,7,CD Ourense,CA Osasuna,37163,4.0,2.0,0.0,T,2.0,6.0,-6.0
28183,1997-1998,2,7,Levante,Real Jaén CF,37164,1.0,4.0,1.0,W,22.0,-6.0,6.0
28180,1997-1998,2,7,CD Numancia,CD Logroñés,37165,2.0,2.0,2.0,W,12.0,-3.0,3.0
28185,1997-1998,2,7,Sevilla FC,Badajoz 1905,37166,3.0,2.0,1.0,T,5.0,5.0,-5.0
28191,1997-1998,2,8,CD Toledo,SD Eibar,37167,2.0,1.0,4.0,T,10.0,-1.0,1.0
28196,1997-1998,2,8,UE Lleida,Rayo Vallecano,37168,1.0,4.0,2.0,W,20.0,-7.0,7.0
28188,1997-1998,2,8,Badajoz 1905,Atl. Madrid B,37169,1.0,0.0,6.0,T,12.0,5.0,-5.0
28191,1997-1998,2,8,CF Extremadura,CD Leganés,37170,4.0,1.0,2.0,T,2.0,6.0,-6.0
28190,1997-1998,2,8,CD Ourense,Hércules CF,37171,4.0,2.0,1.0,W,4.0,6.0,-6.0
28189,1997-1998,2,8,CD Logroñés,Sevilla FC,37172,0.0,3.0,4.0,T,21.0,-7.0,7.0
28196,1997-1998,2,8,Villarreal,UD Las Palmas,37173,3.0,2.0,2.0,T,6.0,-3.0,3.0
28190,1997-1998,2,8,CD Numancia,Albacete,37174,3.0,2.0,2.0,L,8.0,-2.0,2.0
28193,1997-1998,2,8,Real Jaén CF,CA Osasuna,37175,0.0,3.0,4.0,T,22.0,-7.0,7.0
28186,1997-1998,2,8,Alavés,Elche CF,37176,3.0,2.0,2.0,W,5.0,4.0,-4.0
28197,1997-1998,2,8,Xerez CD,Levante,37177,2.0,3.0,2.0,W,15.0,0.0,0.0
28208,1997-1998,2,9,Villarreal,UE Lleida,37178,3.0,2.0,3.0,T,8.0,-3.0,3.0
28199,1997-1998,2,9,CD Ourense,Rayo Vallecano,37179,5.0,2.0,1.0,T,1.0,8.0,-8.0
28201,1997-1998,2,9,CA Osasuna,Xerez CD,37180,2.0,3.0,3.0,W,14.0,0.0,0.0
28197,1997-1998,2,9,Badajoz 1905,CD Leganés,37181,1.0,0.0,7.0,T,13.0,5.0,-5.0
28202,1997-1998,2,9,Real Jaén CF,Hércules CF,37182,0.0,3.0,5.0,L,21.0,-7.0,7.0
28204,1997-1998,2,9,CD Toledo,UD Las Palmas,37183,2.0,1.0,5.0,T,11.0,-1.0,1.0
28200,1997-1998,2,9,CF Extremadura,Alavés,37184,4.0,1.0,3.0,W,3.0,6.0,-6.0
28206,1997-1998,2,9,Levante,Elche CF,37185,2.0,5.0,1.0,T,20.0,-7.0,7.0
28200,1997-1998,2,9,Atl. Madrid B,CD Logroñés,37186,4.0,1.0,3.0,T,2.0,5.0,-5.0
28199,1997-1998,2,9,Albacete,SD Eibar,37187,3.0,1.0,4.0,T,5.0,2.0,-2.0
28203,1997-1998,2,9,CD Numancia,Sevilla FC,37188,3.0,3.0,2.0,T,12.0,-4.0,4.0
28215,1997-1998,2,10,SD Eibar,CD Numancia,37189,2.0,4.0,3.0,W,18.0,-2.0,2.0
28216,1997-1998,2,10,Levante,CF Extremadura,37190,2.0,5.0,2.0,L,20.0,-7.0,7.0
28218,1997-1998,2,10,Villarreal,CD Ourense,37191,3.0,2.0,4.0,T,9.0,-3.0,3.0
28216,1997-1998,2,10,Sevilla FC,Atl. Madrid B,37192,3.0,2.0,4.0,L,7.0,5.0,-5.0
28218,1997-1998,2,10,UE Lleida,CD Toledo,37193,2.0,4.0,3.0,W,17.0,-5.0,5.0
28209,1997-1998,2,10,Badajoz 1905,Alavés,37194,1.0,0.0,8.0,T,14.0,5.0,-5.0
28212,1997-1998,2,10,CD Leganés,CD Logroñés,37195,3.0,2.0,4.0,L,8.0,-4.0,4.0
28217,1997-1998,2,10,UD Las Palmas,Albacete,37196,1.0,2.0,6.0,W,16.0,-2.0,2.0
28217,1997-1998,2,10,Rayo Vallecano,Real Jaén CF,37197,3.0,1.0,5.0,W,4.0,6.0,-6.0
28211,1997-1998,2,10,CA Osasuna,Elche CF,37198,3.0,3.0,3.0,L,10.0,2.0,-2.0
28215,1997-1998,2,10,Hércules CF,Xerez CD,37199,3.0,4.0,2.0,T,13.0,0.0,0.0
28228,1997-1998,2,11,Rayo Vallecano,Xerez CD,37200,4.0,1.0,5.0,T,4.0,7.0,-7.0
28223,1997-1998,2,11,CF Extremadura,CA Osasuna,37201,6.0,1.0,3.0,L,1.0,8.0,-8.0
28227,1997-1998,2,11,Levante,Badajoz 1905,37202,2.0,6.0,2.0,T,21.0,-8.0,8.0
28227,1997-1998,2,11,UD Las Palmas,SD Eibar,37203,2.0,2.0,6.0,T,10.0,-1.0,1.0
28225,1997-1998,2,11,Real Jaén CF,Villarreal,37204,0.0,5.0,5.0,T,22.0,-9.0,9.0
28226,1997-1998,2,11,Sevilla FC,CD Leganés,37205,3.0,3.0,4.0,L,8.0,3.0,-3.0
28224,1997-1998,2,11,Elche CF,Hércules CF,37206,3.0,5.0,2.0,L,19.0,0.0,0.0
28222,1997-1998,2,11,CD Ourense,CD Toledo,37207,5.0,2.0,3.0,W,3.0,8.0,-8.0
28221,1997-1998,2,11,CD Logroñés,Alavés,37208,1.0,3.0,6.0,L,20.0,-5.0,5.0
28221,1997-1998,2,11,Albacete,UE Lleida,37209,3.0,2.0,5.0,L,7.0,1.0,-1.0
28219,1997-1998,2,11,Atl. Madrid B,CD Numancia,37210,5.0,1.0,4.0,T,2.0,7.0,-7.0
28239,1997-1998,2,12,SD Eibar,UE Lleida,37211,3.0,4.0,4.0,T,14.0,-1.0,1.0
28235,1997-1998,2,12,CF Extremadura,Hércules CF,37212,6.0,2.0,3.0,T,2.0,7.0,-7.0
28239,1997-1998,2,12,UD Las Palmas,CD Numancia,37213,2.0,2.0,7.0,W,12.0,-1.0,1.0
28231,1997-1998,2,12,Atl. Madrid B,CD Leganés,37214,5.0,1.0,5.0,T,3.0,7.0,-7.0
28234,1997-1998,2,12,CD Ourense,Albacete,37215,6.0,2.0,3.0,T,1.0,9.0,-9.0
28237,1997-1998,2,12,Levante,CD Logroñés,37216,2.0,6.0,3.0,T,20.0,-8.0,8.0
28237,1997-1998,2,12,Real Jaén CF,CD Toledo,37217,0.0,5.0,6.0,W,22.0,-9.0,9.0
28238,1997-1998,2,12,Rayo Vallecano,Elche CF,37218,4.0,1.0,6.0,L,5.0,7.0,-7.0
28241,1997-1998,2,12,Xerez CD,Villarreal,37219,3.0,4.0,4.0,T,15.0,1.0,-1.0
28230,1997-1998,2,12,Alavés,Sevilla FC,37220,5.0,3.0,3.0,L,4.0,6.0,-6.0
28232,1997-1998,2,12,CA Osasuna,Badajoz 1905,37221,4.0,4.0,3.0,L,9.0,1.0,-1.0
28250,1997-1998,2,13,SD Eibar,CD Ourense,37222,3.0,4.0,5.0,W,16.0,-1.0,1.0
28252,1997-1998,2,13,Villarreal,Elche CF,37223,3.0,2.0,7.0,T,12.0,-3.0,3.0
28242,1997-1998,2,13,Badajoz 1905,Hércules CF,37224,2.0,0.0,10.0,L,9.0,6.0,-6.0
28251,1997-1998,2,13,Xerez CD,CD Toledo,37225,3.0,4.0,5.0,T,17.0,1.0,-1.0
28246,1997-1998,2,13,CF Extremadura,Rayo Vallecano,37226,6.0,2.0,4.0,L,2.0,7.0,-7.0
28244,1997-1998,2,13,CA Osasuna,CD Logroñés,37227,4.0,5.0,3.0,W,14.0,0.0,0.0
28241,1997-1998,2,13,Atl. Madrid B,Alavés,37228,5.0,1.0,6.0,L,3.0,7.0,-7.0
28250,1997-1998,2,13,UE Lleida,UD Las Palmas,37229,4.0,4.0,4.0,T,10.0,-3.0,3.0
28249,1997-1998,2,13,Sevilla FC,Levante,37230,4.0,4.0,4.0,T,8.0,3.0,-3.0
28248,1997-1998,2,13,Real Jaén CF,Albacete,37231,1.0,5.0,6.0,T,22.0,-7.0,7.0
28245,1997-1998,2,13,CD Numancia,CD Leganés,37232,3.0,5.0,4.0,T,18.0,-9.0,9.0
28252,1997-1998,2,14,Alavés,CD Leganés,37233,6.0,4.0,3.0,W,4.0,6.0,-6.0
28259,1997-1998,2,14,Elche CF,CD Toledo,37234,4.0,6.0,3.0,T,16.0,0.0,0.0
28262,1997-1998,2,14,UE Lleida,CD Numancia,37235,4.0,4.0,5.0,W,12.0,-3.0,3.0
28254,1997-1998,2,14,Badajoz 1905,Rayo Vallecano,37236,2.0,1.0,10.0,L,15.0,4.0,-4.0
28262,1997-1998,2,14,Villarreal,CF Extremadura,37237,3.0,2.0,8.0,T,13.0,-3.0,3.0
28257,1997-1998,2,14,CD Ourense,UD Las Palmas,37238,6.0,3.0,4.0,T,2.0,6.0,-6.0
28257,1997-1998,2,14,Hércules CF,CD Logroñés,37239,5.0,4.0,4.0,W,6.0,3.0,-3.0
28258,1997-1998,2,14,Levante,Atl. Madrid B,37240,2.0,6.0,5.0,L,20.0,-8.0,8.0
28260,1997-1998,2,14,Real Jaén CF,SD Eibar,37241,1.0,5.0,7.0,L,21.0,-7.0,7.0
28253,1997-1998,2,14,Albacete,Xerez CD,37242,3.0,3.0,7.0,W,14.0,0.0,0.0
28261,1997-1998,2,14,Sevilla FC,CA Osasuna,37243,4.0,4.0,5.0,W,11.0,3.0,-3.0
28265,1997-1998,2,15,CA Osasuna,Atl. Madrid B,37244,5.0,6.0,3.0,W,14.0,-1.0,1.0
28271,1997-1998,2,15,Real Jaén CF,UD Las Palmas,37245,1.0,6.0,7.0,L,21.0,-8.0,8.0
28264,1997-1998,2,15,Albacete,Elche CF,37246,4.0,3.0,7.0,W,10.0,1.0,-1.0
28271,1997-1998,2,15,SD Eibar,Xerez CD,37247,5.0,4.0,5.0,W,9.0,3.0,-3.0
28273,1997-1998,2,15,UE Lleida,CD Ourense,37248,5.0,4.0,5.0,W,7.0,0.0,0.0
28265,1997-1998,2,15,Badajoz 1905,Villarreal,37249,2.0,2.0,10.0,L,16.0,2.0,-2.0
28272,1997-1998,2,15,Sevilla FC,Hércules CF,37250,5.0,4.0,5.0,L,8.0,5.0,-5.0
28269,1997-1998,2,15,CF Extremadura,CD Toledo,37251,6.0,3.0,5.0,W,4.0,4.0,-4.0
28267,1997-1998,2,15,CD Logroñés,Rayo Vallecano,37252,1.0,6.0,7.0,L,22.0,-9.0,9.0
28269,1997-1998,2,15,Levante,CD Leganés,37253,2.0,7.0,5.0,L,20.0,-10.0,10.0
28263,1997-1998,2,15,Alavés,CD Numancia,37254,7.0,4.0,3.0,W,3.0,7.0,-7.0
28276,1997-1998,2,16,CD Numancia,CD Ourense,37255,3.0,7.0,5.0,T,19.0,-14.0,14.0
28278,1997-1998,2,16,Hércules CF,Atl. Madrid B,37256,7.0,4.0,4.0,L,4.0,5.0,-5.0
28283,1997-1998,2,16,Real Jaén CF,UE Lleida,37257,1.0,7.0,7.0,L,22.0,-11.0,11.0
28282,1997-1998,2,16,Elche CF,SD Eibar,37258,4.0,7.0,4.0,L,16.0,-2.0,2.0
28282,1997-1998,2,16,UD Las Palmas,Xerez CD,37259,4.0,2.0,9.0,W,10.0,6.0,-6.0
28277,1997-1998,2,16,CD Toledo,Badajoz 1905,37260,2.0,5.0,8.0,W,18.0,-6.0,6.0
28275,1997-1998,2,16,CA Osasuna,CD Leganés,37261,6.0,6.0,3.0,T,11.0,2.0,-2.0
28281,1997-1998,2,16,CF Extremadura,Albacete,37262,7.0,3.0,5.0,W,3.0,5.0,-5.0
28279,1997-1998,2,16,Levante,Alavés,37263,2.0,8.0,5.0,L,20.0,-11.0,11.0
28279,1997-1998,2,16,CD Logroñés,Villarreal,37264,1.0,7.0,7.0,W,21.0,-10.0,10.0
28284,1997-1998,2,16,Sevilla FC,Rayo Vallecano,37265,5.0,5.0,5.0,W,14.0,4.0,-4.0
28290,1997-1998,2,17,CF Extremadura,SD Eibar,37266,8.0,3.0,5.0,T,2.0,7.0,-7.0
28291,1997-1998,2,17,Hércules CF,CD Leganés,37267,7.0,5.0,4.0,L,7.0,3.0,-3.0
28292,1997-1998,2,17,Rayo Vallecano,Atl. Madrid B,37268,7.0,3.0,6.0,W,4.0,11.0,-11.0
28294,1997-1998,2,17,UD Las Palmas,Elche CF,37269,5.0,2.0,9.0,W,8.0,9.0,-9.0
28295,1997-1998,2,17,UE Lleida,Xerez CD,37270,7.0,4.0,5.0,W,6.0,2.0,-2.0
28294,1997-1998,2,17,Sevilla FC,Villarreal,37271,6.0,5.0,5.0,L,10.0,5.0,-5.0
28290,1997-1998,2,17,CD Toledo,CD Logroñés,37272,3.0,5.0,8.0,T,15.0,-5.0,5.0
28285,1997-1998,2,17,Alavés,CA Osasuna,37273,9.0,4.0,3.0,W,1.0,10.0,-10.0
28293,1997-1998,2,17,Real Jaén CF,CD Ourense,37274,1.0,8.0,7.0,T,22.0,-12.0,12.0
28287,1997-1998,2,17,Badajoz 1905,Albacete,37275,2.0,4.0,10.0,W,16.0,0.0,0.0
28288,1997-1998,2,17,CD Numancia,Levante,37276,3.0,7.0,6.0,W,18.0,-14.0,14.0
28303,1997-1998,2,18,SD Eibar,Badajoz 1905,37277,7.0,4.0,6.0,L,6.0,10.0,-10.0
28302,1997-1998,2,18,Rayo Vallecano,CD Leganés,37278,8.0,3.0,6.0,W,2.0,12.0,-12.0
28304,1997-1998,2,18,Levante,CA Osasuna,37279,2.0,10.0,5.0,L,22.0,-14.0,14.0
28306,1997-1998,2,18,Villarreal,Atl. Madrid B,37280,5.0,3.0,9.0,T,11.0,-1.0,1.0
28307,1997-1998,2,18,Xerez CD,CD Ourense,37281,3.0,8.0,6.0,L,19.0,-8.0,8.0
28304,1997-1998,2,18,UD Las Palmas,CF Extremadura,37282,6.0,2.0,9.0,T,5.0,10.0,-10.0
28301,1997-1998,2,18,Hércules CF,Alavés,37283,7.0,6.0,4.0,W,10.0,1.0,-1.0
28296,1997-1998,2,18,Albacete,CD Logroñés,37284,5.0,5.0,7.0,W,13.0,0.0,0.0
28305,1997-1998,2,18,Real Jaén CF,CD Numancia,37285,1.0,8.0,8.0,W,21.0,-12.0,12.0
28303,1997-1998,2,18,Elche CF,UE Lleida,37286,4.0,9.0,4.0,T,18.0,-7.0,7.0
28300,1997-1998,2,18,CD Toledo,Sevilla FC,37287,3.0,5.0,9.0,L,17.0,-5.0,5.0
28312,1997-1998,2,19,CD Logroñés,SD Eibar,37288,2.0,8.0,8.0,L,21.0,-9.0,9.0
28313,1997-1998,2,19,CF Extremadura,UE Lleida,37289,8.0,3.0,7.0,L,3.0,7.0,-7.0
28311,1997-1998,2,19,CD Leganés,Villarreal,37290,6.0,5.0,7.0,L,14.0,-4.0,4.0
28312,1997-1998,2,19,Hércules CF,Levante,37291,8.0,6.0,4.0,T,5.0,2.0,-2.0
28311,1997-1998,2,19,CD Toledo,Atl. Madrid B,37292,3.0,6.0,9.0,L,17.0,-7.0,7.0
28313,1997-1998,2,19,Rayo Vallecano,Alavés,37293,9.0,3.0,6.0,T,1.0,13.0,-13.0
28310,1997-1998,2,19,CD Ourense,Elche CF,37294,7.0,4.0,7.0,W,6.0,6.0,-6.0
28316,1997-1998,2,19,UD Las Palmas,Badajoz 1905,37295,6.0,2.0,10.0,W,7.0,10.0,-10.0
28308,1997-1998,2,19,Albacete,Sevilla FC,37296,6.0,5.0,7.0,W,12.0,1.0,-1.0
28314,1997-1998,2,19,Real Jaén CF,Xerez CD,37297,2.0,8.0,8.0,T,20.0,-11.0,11.0
28309,1997-1998,2,19,CD Numancia,CA Osasuna,37298,4.0,8.0,6.0,T,16.0,-13.0,13.0
28323,1997-1998,2,20,CD Leganés,CD Toledo,37299,6.0,6.0,7.0,W,14.0,-6.0,6.0
28327,1997-1998,2,20,Villarreal,Alavés,37300,6.0,3.0,10.0,L,10.0,1.0,-1.0
28326,1997-1998,2,20,UE Lleida,Badajoz 1905,37301,9.0,4.0,6.0,L,3.0,6.0,-6.0
28321,1997-1998,2,20,Hércules CF,CA Osasuna,37302,8.0,6.0,5.0,L,9.0,2.0,-2.0
28319,1997-1998,2,20,CD Ourense,CF Extremadura,37303,8.0,4.0,7.0,L,6.0,7.0,-7.0
28325,1997-1998,2,20,UD Las Palmas,CD Logroñés,37304,7.0,2.0,10.0,W,4.0,12.0,-12.0
28328,1997-1998,2,20,Levante,Rayo Vallecano,37305,2.0,11.0,6.0,W,22.0,-16.0,16.0
28320,1997-1998,2,20,Atl. Madrid B,Albacete,37306,8.0,4.0,7.0,W,5.0,7.0,-7.0
28328,1997-1998,2,20,Xerez CD,CD Numancia,37307,3.0,9.0,7.0,T,19.0,-9.0,9.0
28327,1997-1998,2,20,Elche CF,Real Jaén CF,37308,4.0,10.0,5.0,W,18.0,-8.0,8.0
28329,1997-1998,2,20,Sevilla FC,SD Eibar,37309,7.0,7.0,5.0,T,13.0,3.0,-3.0
28338,1997-1998,2,21,Levante,Villarreal,37310,3.0,11.0,6.0,L,20.0,-15.0,15.0
28334,1997-1998,2,21,Rayo Vallecano,CA Osasuna,37311,9.0,4.0,7.0,L,5.0,12.0,-12.0
28331,1997-1998,2,21,CD Ourense,Badajoz 1905,37312,8.0,5.0,7.0,L,8.0,5.0,-5.0
28337,1997-1998,2,21,UD Las Palmas,Sevilla FC,37313,8.0,2.0,10.0,T,4.0,13.0,-13.0
28330,1997-1998,2,21,Atl. Madrid B,SD Eibar,37314,9.0,4.0,7.0,L,2.0,9.0,-9.0
28334,1997-1998,2,21,CD Logroñés,UE Lleida,37315,2.0,10.0,8.0,T,22.0,-11.0,11.0
28335,1997-1998,2,21,CD Numancia,Hércules CF,37316,4.0,8.0,8.0,W,17.0,-13.0,13.0
28332,1997-1998,2,21,CD Toledo,Alavés,37317,3.0,8.0,9.0,T,18.0,-10.0,10.0
28330,1997-1998,2,21,Albacete,CD Leganés,37318,7.0,6.0,7.0,L,12.0,0.0,0.0
28335,1997-1998,2,21,Real Jaén CF,CF Extremadura,37319,2.0,9.0,9.0,L,21.0,-12.0,12.0
28337,1997-1998,2,21,Elche CF,Xerez CD,37320,5.0,10.0,5.0,T,16.0,-7.0,7.0
28344,1997-1998,2,22,CD Leganés,SD Eibar,37321,8.0,6.0,7.0,T,9.0,-2.0,2.0
28349,1997-1998,2,22,UE Lleida,Sevilla FC,37322,9.0,5.0,7.0,W,5.0,5.0,-5.0
28343,1997-1998,2,22,CA Osasuna,Villarreal,37323,9.0,7.0,5.0,L,8.0,5.0,-5.0
28341,1997-1998,2,22,Albacete,Alavés,37324,7.0,7.0,7.0,T,15.0,-2.0,2.0
28343,1997-1998,2,22,CD Toledo,Levante,37325,3.0,8.0,10.0,W,18.0,-10.0,10.0
28348,1997-1998,2,22,Hércules CF,Rayo Vallecano,37326,8.0,8.0,5.0,T,12.0,0.0,0.0
28342,1997-1998,2,22,CD Ourense,CD Logroñés,37327,8.0,6.0,7.0,T,11.0,2.0,-2.0
